faclid21	jurdid	state	county	faclname	city	zipP	stratum	finalweight	weight	confpop	confpopf	nconpop	nconpopf	totpop	totpopf	noncitz	noncitzf	week	weekn	weekf	adultm	adultmf	adultf	adultff	juvm	juvmf	juvf	juvff	totgender	totgenderf	adltjuv	adltjuvf	conv	convf	convunsent	convunsentf	convsent	convsentf	unconv	unconvf	unconvtrial	unconvtrialf	unconvhold	unconvholdf	unconvother	unconvotherf	s2qII3c	s2qII3cf	white	whitef	black	blackf	hisp	hispf	AIAN	AIANf	asian	asianf	nhopi	nhopif	tworace	tworacef	otherracespec	otherrace	otherracef	racedk	racedkf	racetotal	racetotalf	marshals	marshalsf	bop	bopf	ice	icef	bia	biaf	s2qII5a5spec	s2qII5a5	S2QII5A5F	instatepris	instateprisf	outstatepris	outstateprisf	instatejail	instatejailf	outstatejail	outstatejailf	s2qII5d	s2qII5df	peakdate	peakpop	peakpopf	adp	adpf	rated	ratedf	operation	operationf	design	designf	admis	admisf	release	releasef	convII10a	convII10af	unconvII10a	unconvII10af	convII10b	convII10bf	unconvII10b	unconvII10bf	convII10c	convII10cf	unconvII10c	unconvII10cf	convII10d	convII10df	unconvII10d	unconvII10df	convII10e	convII10ef	unconvII10e	unconvII10ef	convII10f	convfII10f	unconvII10f	unconvII10ff	s2II10gconv	s2II10gconvf	s2II10gfunconv	s2II10gfunconvf	emonitor	emonitorf	homedetn	homedetnf	commsrv	commsrvf	dayreport	dayreportf	pretrial	pretrialf	altwork	altworkf	treatment	treatmentf	otrnonconfs	otrnonconf	otrnonconff	nonconfd	nonconfdf	ADMLNCNF	ADMLNCNFF	ADFMNCNF	ADFMNCNFF	JVMLNCNF	JVMLNCNFF	JVFMNCNF	JVFMNCNFF	NCNFGNDR	NCNFGNDRF	CONVNCNF	CONVNCNFF	UNCNVNCF	UNCNVNCFF	TOTCNVST	TOTCNVSTF	corrstaff	corrstafff	otherstaff	otherstafff	s4qIV1c	s4qIV1cf	assaultstaffYN	assaultcorr	assaultcorrf	assaultotrstaff	assaultotrstafff	deathstaffYN	deathcorr	deathcorrf	deathotrstaff	deathotrstafff	physassault	physassaultf	drugvio	drugviof	alcovio	alcoviof	weapon	weaponf	stolenprop	stolenpropf	escape	escapef	othermajvio	othermajviof	NCONPOP2
011008008061000000000	011008008	1	CALHOUN COUNTY	CALHOUN COUNTY JAIL	Anniston	36201	7	1.4136	1.4136	469	0	0	0	469	0	0	0	2	0	0	405	0	62	0	2	0	0	0	469	0	2	0	50	0	0	0	50	0	419	0	419	0	0	0	0	0	469	0	272	0	182	0	15	0	0	0	0	0	0	0	0	0	 	0	0	0	0	469	0	28	0	0	0	0	0	0	0	 	0	0	50	0	0	0	0	0	0	0	78	0	28	482	0	448	0	400	0	400	0	365	0	102	0	75	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011010010061000000000	011010010	1	CHEROKEE COUNTY	CHEROKEE COUNTY DETENTION CENTER	Centre	35960	8	2.7519	2.7519	85	1	0	0	85	1	3	1	2	0	0	70	0	15	0	0	0	0	0	85	0	0	0	10	1	0	1	10	1	75	1	75	1	0	1	0	0	85	1	60	1	15	1	10	1	0	0	0	0	0	0	0	0	 	0	0	0	0	85	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	25	90	1	85	1	114	0	114	0	114	0	30	1	25	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011011011061000000000	011011011	1	CHILTON COUNTY	CHILTON COUNTY JAIL	Clanton	35045	7	1.4136	1.4136	186	0	0	0	186	0	11	1	2	0	0	155	0	31	0	0	0	0	0	186	0	0	1	83	1	40	1	43	1	103	1	60	1	43	1	0	0	186	1	118	0	55	0	11	0	0	0	0	0	0	0	2	1	 	0	0	0	0	186	0	1	0	0	0	11	1	0	0	 	0	0	43	1	0	0	4	0	0	0	59	0	11	187	0	175	1	180	0	180	0	180	0	59	0	47	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011013013061000000000	011013013	1	CLARKE COUNTY	CLARKE COUNTY JAIL	GROVE HILL	36451	9	5.5909	5.5377	106	0	0	0	106	0	0	0	1	4	0	95	0	10	0	1	0	0	0	106	0	1	0	4	0	0	0	4	0	102	0	93	0	9	0	0	0	106	0	37	0	69	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	106	0	0	0	0	0	0	0	0	0	 	0	0	9	0	0	0	0	0	0	0	9	0	13	125	0	110	0	101	0	0	9	0	9	12	0	21	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011016016061000000000	011016016	1	COFFEE COUNTY	COFFEE COUNTY JAIL	NEW BROCKTON	36351	8	2.7519	2.7519	151	0	0	0	151	0	14	0	1	3	0	126	0	24	0	1	0	0	0	151	0	1	0	18	0	7	0	11	0	133	0	92	0	14	0	27	0	151	0	59	0	71	0	19	0	1	0	1	0	0	0	0	0	 	0	0	0	0	151	0	0	0	0	0	14	0	0	0	 	0	0	11	0	0	0	7	0	0	0	32	0	5	176	0	146	0	126	0	126	0	126	0	55	0	51	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011019019061000000000	011019019	1	COOSA COUNTY	COOSA COUNTY JAIL	ROCKFORD	35136	9	5.5909	5.5377	67	0	0	0	67	0	1	0	2	0	0	65	0	2	0	0	0	0	0	67	0	0	0	6	0	0	0	6	0	61	0	61	0	0	0	0	0	67	0	18	0	48	0	1	0	0	0	0	0	0	0	0	0	 	0	0	0	0	67	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	9	80	0	58	0	72	0	72	0	72	0	10	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011020020061000000000	011020020	1	COVINGTON COUNTY	COVINGTON COUNTY JAIL	ANDALUSIA	36420	8	2.7519	2.7519	189	1	0	0	189	0	0	9	1	0	9	161	1	28	1	0	1	0	1	189	1	0	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	189	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	 	0	9	189	0	189	0	0	9	0	9	0	9	0	9	 	0	9	0	9	0	9	0	9	0	9	0	9	0	0	9	195	1	220	0	0	9	0	9	0	9	0	9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011021021061000000000	011021021	1	CRENSHAW COUNTY	CRENSHAW COUNTY JAIL	LUVERNE	36049	9	5.5909	5.5377	38	0	0	0	38	0	0	0	1	0	0	35	0	3	0	0	0	0	0	38	0	0	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	38	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	 	0	9	38	0	38	0	0	9	0	9	0	9	0	9	 	0	9	0	9	0	9	0	9	0	9	0	9	0	0	9	40	1	68	1	0	9	0	9	0	9	0	9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011026026061000000000	011026026	1	ELMORE COUNTY	ELMORE COUNTY JAIL	WETUMPKA	36092	7	1.4136	1.4136	194	0	0	0	194	0	0	9	1	6	0	165	0	29	0	0	0	0	0	194	0	0	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	194	0	110	0	80	0	4	0	0	8	0	8	0	8	0	8	 	0	0	0	0	194	0	9	0	4	0	0	0	0	0	 	0	0	4	0	0	0	0	0	0	0	17	0	1	227	0	210	0	242	0	242	0	242	0	76	0	70	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011028028061000000000	011028028	1	ETOWAH COUNTY	ETOWAH COUNTY DETENTION CENTER	Gadsden	35901	1	1.0113	1	653	0	0	0	653	0	361	0	2	0	0	515	0	126	0	12	0	0	0	653	0	12	0	129	0	103	0	26	0	524	0	155	0	12	0	357	0	653	0	136	0	112	0	48	0	0	0	0	0	0	0	0	0	ICE Detainees	357	0	0	0	653	0	0	0	0	0	357	0	0	0	 	0	0	28	0	0	0	0	0	0	0	385	0	17	692	0	723	0	879	0	879	0	879	0	218	0	271	0	0	0	193	0	2	0	51	0	3	0	0	0	1	0	2	0	7	0	0	0	12	0	0	0	25	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	12	0	102	0	2	0	0	0	0	2	0	0	0	0	17	0	29	0	3	0	2	0	17	0	1	0	0	0	0
