faclid21	JURDID	state	county	faclname	city	zipP	stratum	finalweight	weight	confpop	confpopf	nconpop	nconpopf	totpop	totpopf	noncitz	noncitzf	week	weekn	weekf	adultm	adultmf	adultf	adultff	juvm	juvmf	juvf	juvff	totgender	totgenderf	adltjuv	adltjuvf	conv	convf	convunsent	convunsentf	convsent	convsentf	unconv	unconvf	unconvtrial	unconvtrialf	unconvhold	unconvholdf	unconvother	unconvotherf	s2qII3c	s2qII3cf	white	whitef	black	blackf	hisp	hispf	AIAN	AIANf	asian	asianf	nhopi	nhopif	tworace	tworacef	otherracespec	otherrace	otherracef	racedk	racedkf	racetotal	racetotalf	marshals	marshalsf	bop	bopf	ice	icef	bia	biaf	s2qII5a5spec	s2qII5a5	s2qII5a5f	instatepris	instateprisf	outstatepris	outstateprisf	instatejail	instatejailf	outstatejail	outstatejailf	s2qII5d	s2qII5df	peakdate	peakpop	peakpopf	adp	adpf	rated	ratedf	operation	operationf	design	designf	admis	admisf	release	releasef	convII10a	convII10af	unconvII10a	unconvII10af	convII10b	convII10bf	unconvII10b	unconvII10bf	convII10c	convII10cf	unconvII10c	unconvII10cf	convII10d	convII10df	unconvII10d	unconvII10df	convII10e	convII10ef	unconvII10e	unconvII10ef	convII10f	convfII10f	unconvII10f	unconvII10ff	s2II10gconv	s2II10gconvf	s2II10gfunconv	s2II10gfunconvf	emonitor	emonitorf	homedetn	homedetnf	commsrv	commsrvf	dayreport	dayreportf	pretrial	pretrialf	altwork	altworkf	treatment	treatmentf	otrnonconfs	otrnonconf	otrnonconff	nonconfd	nonconfdf	ADMLNCNF	ADMLNCNFF	ADFMNCNF	ADFMNCNFF	JVMLNCNF	JVMLNCNFF	JVFMNCNF	JVFMNCNFF	NCNFGNDR	NCNFGNDRF	CONVNCNF	CONVNCNFF	UNCNVNCF	UNCNVNCFF	TOTCNVST	TOTCNVSTF	corrstaff	corrstafff	otherstaff	otherstafff	s4qIV1c	s4qIV1cf	assaultstaffYN	assaultcorr	assaultcorrf	assaultotrstaff	assaultotrstafff	deathstaffYN	deathcorr	deathcorrf	deathotrstaff	deathotrstafff	physassault	physassaultf	drugvio	drugviof	alcovio	alcoviof	weapon	weaponf	stolenprop	stolenpropf	escape	escapef	othermajvio	othermajviof	NCONPOP2
011010010061000000000	011010010	1	CHEROKEE COUNTY	CHEROKEE COUNTY DETENTION CENTER	Centre	35960	8	2.8873	2.7519	121	0	0	0	121	0	5	0	2	0	0	101	0	20	0	0	0	0	0	121	0	0	0	14	0	0	0	14	0	107	0	46	0	14	0	47	0	121	0	102	0	14	0	5	0	0	0	0	0	0	0	0	0	 	0	0	0	0	121	0	13	0	0	0	0	0	0	0	 	0	0	14	0	0	0	0	0	0	0	27	0	19	127	0	113	0	123	0	135	0	123	0	34	0	33	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011011011061000000000	011011011	1	CHILTON COUNTY	CHILTON COUNTY JAIL	Clanton	35045	7	1.4967	1.4136	248	0	0	0	248	0	26	0	2	0	0	192	0	56	0	0	0	0	0	248	0	0	0	103	0	0	9	0	9	145	0	0	9	0	9	0	9	248	0	171	0	51	0	26	0	0	0	0	0	0	0	0	0	 	0	0	0	0	248	0	0	0	0	0	5	0	0	0	 	0	0	26	0	0	0	0	0	0	0	31	0	30	248	0	215	0	180	0	180	0	180	0	103	0	100	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011013013061000000000	011013013	1	CLARKE COUNTY	CLARKE COUNTY JAIL	GROVE HILL	36451	9	5.9946	5.5377	128	0	0	0	128	0	0	0	2	0	0	116	0	10	0	2	0	0	0	128	0	1	0	69	0	0	0	69	0	59	0	59	0	0	0	0	0	128	0	57	0	69	0	2	0	0	0	0	0	0	0	0	0	 	0	0	0	0	128	0	2	0	0	0	0	0	0	0	 	0	0	40	0	0	0	14	0	0	0	56	0	30	128	0	105	0	128	0	141	0	0	9	25	0	21	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011016016061000000000	011016016	1	COFFEE COUNTY	COFFEE COUNTY JAIL	NEW BROCKTON	36351	8	2.8873	2.7519	108	0	11	0	119	0	7	0	1	0	0	102	0	6	0	0	0	0	0	108	0	0	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	108	0	38	0	62	0	7	0	1	0	0	0	0	0	0	0	 	0	0	0	0	108	0	0	0	0	0	7	0	0	0	 	0	0	12	0	0	0	3	0	0	0	22	0	24	126	0	131	0	126	0	126	0	126	0	46	0	45	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	6	0	0	0	0	0	0	0	0	0	0	0	5	0	 	0	0	11	0	10	0	1	0	0	0	0	0	11	0	0	0	11	0	11	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	11
011019019061000000000	011019019	1	COOSA COUNTY	COOSA COUNTY JAIL	ROCKFORD	35136	9	5.9946	5.5377	52	0	0	0	52	0	3	0	2	0	0	45	0	6	0	1	0	0	0	52	0	1	0	23	0	4	0	19	0	29	0	26	0	3	0	0	0	52	0	32	0	17	0	3	0	0	0	0	0	0	0	0	0	 	0	0	0	0	52	0	0	0	0	0	3	0	0	0	 	0	0	5	0	0	0	0	0	0	0	8	0	7	75	0	62	0	72	0	72	0	72	0	7	0	22	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011020020061000000000	011020020	1	COVINGTON COUNTY	COVINGTON COUNTY JAIL	ANDALUSIA	36420	8	2.8873	2.7519	159	0	0	0	159	0	3	0	1	2	0	131	0	28	0	0	8	0	8	159	0	0	8	46	0	83	0	41	0	44	0	44	0	0	8	0	8	168	0	88	0	50	0	21	0	0	0	0	0	0	0	0	0	 	0	0	0	0	159	0	0	8	0	8	0	8	0	8	 	0	8	61	0	3	0	0	8	0	8	64	0	14	188	0	185	0	182	0	182	0	182	0	7	0	11	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2
011026026061000000000	011026026	1	ELMORE COUNTY	ELMORE COUNTY JAIL	WETUMPKA	36092	7	1.4967	1.4136	248	1	0	0	248	1	3	0	1	5	0	208	1	40	1	0	0	0	0	248	1	0	0	120	1	148	1	140	1	120	1	80	1	20	1	0	1	240	1	123	1	120	1	5	1	0	0	0	0	0	0	0	0	 	0	0	0	0	248	1	5	0	12	0	0	0	0	0	 	0	0	12	0	0	0	0	0	0	0	29	0	18	272	0	240	0	242	0	242	0	242	0	150	1	140	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	5
011028028061000000000	011028028	1	ETOWAH COUNTY	ETOWAH COUNTY DETENTION CENTER	Gadsden	35901	1	1.0152	1	768	0	0	0	768	0	309	0	2	0	0	660	0	105	0	3	0	0	0	768	0	3	0	218	0	193	0	25	0	550	0	224	0	17	0	309	0	768	0	231	0	228	0	37	0	0	0	29	0	0	0	0	0	Various Immigration	243	0	0	0	768	0	0	0	0	0	309	0	0	0	 	0	0	12	0	0	0	63	0	0	0	384	0	17	793	0	759	0	879	0	879	0	879	0	103	0	98	0	0	0	35	0	0	0	15	0	0	0	6	0	3	0	5	0	27	0	0	0	7	0	0	0	37	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	15	0	102	0	2	0	0	0	0	2	0	0	0	0	4	0	26	0	2	0	6	0	14	0	2	0	0	0	0
011029029061000000000	011029029	1	FAYETTE COUNTY	FAYETTE COUNTY JAIL	Fayette	35555	9	5.9946	5.5377	58	1	0	1	58	1	0	1	2	0	0	42	1	14	0	2	1	0	1	58	1	2	1	5	1	0	1	5	1	53	1	40	1	5	1	8	1	58	1	38	1	20	1	0	1	0	1	0	1	0	1	0	1	 	0	1	0	1	58	1	0	1	0	1	0	1	0	1	 	0	1	5	1	0	1	3	1	0	1	8	1	10	73	1	71	1	45	1	55	1	45	1	10	1	5	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
011033033061000000000	011033033	1	HALE COUNTY	HALE COUNTY JAIL	GREENSBORO	36744	9	5.9946	5.5377	57	0	0	0	57	0	0	0	2	0	0	54	0	3	0	0	0	0	0	57	0	0	0	5	0	0	0	5	0	52	0	52	0	0	0	0	0	57	0	12	0	45	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	57	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	26	60	0	56	0	71	0	71	0	71	0	8	0	7	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0
