FACLID21	JURDID	STATE	COUNTY	FACLNAME	CITY	ZIPP	STRATUMNEW	WEIGHT	CONFPOP	CONFPOPF	NCONPOP	NCONPOPF	TOTPOP	TOTPOPF	NONCITZ	NONCITZF	WEEK	WEEKN	WEEKF	ADULTM	ADULTMF	ADULTF	ADULTFF	JUVM	JUVMF	JUVF	JUVFF	TOTGENDER	TOTGENDERF	ADLTJUV	ADLTJUVF	CONV	CONVF	CONVUNSENT	CONVUNSENTF	CONVSENT	CONVSENTF	UNCONV	UNCONVF	UNCONVTRIAL	UNCONVTRIALF	UNCONVHOLD	UNCONVHOLDF	UNCONVOTHER	UNCONVOTHERF	S2QII3C	S2QII3CF	WHITE	WHITEF	BLACK	BLACKF	HISP	HISPF	AIAN	AIANF	ASIAN	ASIANF	NHOPI	NHOPIF	TWORACE	TWORACEF	OTHERRACESPEC	OTHERRACE	OTHERRACEF	RACEDK	RACEDKF	RACETOTAL	RACETOTALF	MARSHALS	MARSHALSF	BOP	BOPF	ICE	ICEF	BIA	BIAF	S2QII5A5SPEC	S2QII5A5	S2QII5A5F	INSTATEPRIS	INSTATEPRISF	OUTSTATEPRIS	OUTSTATEPRISF	INSTATEJAIL	INSTATEJAILF	OUTSTATEJAIL	OUTSTATEJAILF	S2QII5D	S2QII5DF	PEAKDATE	PEAKPOP	PEAKPOPF	ADP	ADPF	RATED	RATEDF	OPERATION	OPERATIONF	DESIGN	DESIGNF	ADMIS	ADMISF	RELEASE	RELEASEF	CONVII10A	CONVII10AF	UNCONVII10A	UNCONVII10AF	CONVII10B	CONVII10BF	UNCONVII10B	UNCONVII10BF	CONVII10C	CONVII10CF	UNCONVII10C	UNCONVII10CF	CONVII10D	CONVII10DF	UNCONVII10D	UNCONVII10DF	CONVII10E	CONVII10EF	UNCONVII10E	UNCONVII10EF	CONVII10F	CONVFII10F	UNCONVII10F	UNCONVII10FF	S2II10GCONV	S2II10GCONVF	S2II10GFUNCONV	S2II10GFUNCONVF	EMONITOR	EMONITORF	HOMEDETN	HOMEDETNF	COMMSRV	COMMSRVF	DAYREPORT	DAYREPORTF	PRETRIAL	PRETRIALF	ALTWORK	ALTWORKF	TREATMENT	TREATMENTF	OTRNONCONFS	OTRNONCONF	OTRNONCONFF	NONCONFD	NONCONFDF	ADMLNCNF	ADMLNCNFF	ADFMNCNF	ADFMNCNFF	JVMLNCNF	JVMLNCNFF	JVFMNCNF	JVFMNCNFF	NCNFGNDR	NCNFGNDRF	CONVNCNF	CONVNCNFF	UNCNVNCF	UNCNVNCFF	TOTCNVST	TOTCNVSTF	CORRSTAFF	CORRSTAFFF	OTHERSTAFF	OTHERSTAFFF	S4QIV1C	S4QIV1CF	ASSAULTSTAFFYN	ASSAULTCORR	ASSAULTCORRF	ASSAULTOTRSTAFF	ASSAULTOTRSTAFFF	DEATHSTAFFYN	DEATHCORR	DEATHCORRF	DEATHOTRSTAFF	DEATHOTRSTAFFF	PHYSASSAULT	PHYSASSAULTF	DRUGVIO	DRUGVIOF	ALCOVIO	ALCOVIOF	WEAPON	WEAPONF	STOLENPROP	STOLENPROPF	ESCAPE	ESCAPEF	OTHERMAJVIO	OTHERMAJVIOF	NCONPOP2	BJSW
051019019060000001900	051019019	CA	LOS ANGELES COUNTY	LOS ANGELES COUNTY - CUSTODY SUPPORT SERVS	LOS ANGELES	90012	1.1	1	18433	0	305	0	18738	0	0	9	1	85	0	15930	0	2503	0	0	8	0	8	18433	0	0	8	7995	0	0	0	7995	0	10438	0	10438	0	0	0	0	0	18433	0	3316	0	5910	0	8754	0	7	0	65	0	22	0	0	8	Other	359	0	0	8	18433	0	0	0	0	0	0	0	0	0	 	0	0	689	0	0	0	0	0	0	0	689	0	12	18911	0	18679	1	21389	1	19539	1	0	8	2577	0	2529	0	21	0	0	0	281	0	7	0	556	0	47	0	796	0	24	0	558	0	13	0	226	0	0	0	2438	0	91	0	64	0	0	8	175	0	0	8	0	8	0	8	0	8	Weekenders	66	0	305	0	284	0	21	0	0	8	0	8	305	0	305	0	0	8	305	0	2478	1	1947	1	4425	1	1	141	1	0	8	-9	0	0	0	0	2305	1	85	1	195	1	142	1	294	1	1	1	0	9	390	1
501041041062000000000	501041041	WI	MILWAUKEE COUNTY	MILWAUKEE COUNTY CORRECTIONAL FAC SOUTH	Franklin	53132	1	1	1571	0	0	0	1571	0	0	0	-9	0	9	1435	0	136	0	0	0	0	0	1571	0	0	0	1101	0	0	0	1101	0	470	0	189	0	171	0	110	0	1571	0	448	0	1033	0	76	0	5	0	0	0	9	0	0	0	 	0	0	0	0	1571	0	0	0	0	0	0	0	0	0	 	0	0	303	0	0	0	50	0	0	0	353	0	2	2529	0	1596	0	1904	0	2065	0	0	9	280	0	35	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	9	-9	0	0	0	0	-9	0	0	0	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	1.0695652
332031001060000011300	332031001	NY	NEW YORK CITY	NEW YORK CITY	JACKSON HEIGHTS	11370	1	1	11518	0	0	0	11518	0	1298	1	1	20	1	10459	0	783	0	262	0	14	0	11518	0	276	1	2869	1	229	1	2640	0	8649	1	8318	1	329	1	2	1	11518	0	866	1	6301	1	3939	1	10	1	142	1	0	0	0	0	Other	255	1	5	1	11518	0	0	9	0	9	868	0	0	9	Other federal, non-ICE	70	1	907	0	0	9	6	1	0	9	1851	1	24	11706	0	11827	1	17598	0	13644	0	17598	0	1519	0	1560	0	63	0	83	0	51	0	173	0	133	0	245	0	212	0	132	0	233	0	102	0	102	0	31	0	794	0	766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7190	0	3210	0	10400	0	1	75	0	2	0	-9	0	0	0	0	818	0	157	0	4	0	513	0	7	0	1	0	3619	0	20	1.0695652
141016016060100000000	141016016	IL	COOK COUNTY	COOK COUNTY JAILS - DEPT OF CORRS	CHICAGO	60608	1	1	10428	0	1402	0	11830	0	0	9	-9	0	0	9458	1	878	1	89	1	3	1	10428	0	92	1	0	9	0	9	0	9	0	9	0	9	0	9	0	9	10428	0	1039	1	7694	1	1601	1	11	1	52	1	0	1	31	1	 	0	1	0	1	10428	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	3	10804	0	10354	0	10702	0	0	9	0	9	1515	0	1677	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	917	0	0	0	0	0	262	0	0	0	0	0	0	0	Sheriff's Female Furlough Program	223	0	1402	0	1179	1	223	1	0	0	0	0	1402	0	0	9	0	9	1402	0	3489	1	300	1	3789	1	1	69	0	0	9	-9	0	0	0	0	1514	1	0	9	0	9	247	1	86	1	14	1	284	1	1402	1.0695652
441101101060000015100	441101101	TX	HARRIS COUNTY	HARRIS COUNTY	HOUSTON	77002	1	1	9297	0	0	8	9297	0	1083	1	1	60	0	8001	0	1171	0	113	0	12	0	9297	0	0	9	2044	1	0	9	0	9	7253	1	0	9	0	9	0	9	9297	0	4480	1	4690	1	0	0	5	1	50	1	0	0	0	0	 	0	0	72	0	9297	0	0	0	24	1	1074	1	0	0	 	0	0	1470	1	73	1	0	8	0	8	2641	1	22	9417	1	9302	0	10114	1	9406	1	9434	1	2238	1	2195	1	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	8	0	8	0	8	0	8	0	8	0	8	0	8	 	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	1546	1	290	1	1836	1	1	4	0	0	8	-9	0	0	0	0	962	0	20	0	26	0	562	0	346	0	14	0	8201	0	60	1.0695652
031007007060000000700	031007007	AZ	MARICOPA COUNTY	MARICOPA COUNTY	PHOENIX	85003	1	1	8057	0	0	0	8057	0	0	9	1	397	0	6828	0	1126	0	95	0	8	0	8057	0	103	0	1689	0	0	0	1689	0	6368	0	6186	0	98	0	84	0	8057	0	3609	0	1360	0	2606	0	389	0	60	0	0	0	0	0	 	0	0	33	0	8057	0	5	0	3	0	10	0	0	0	 	0	0	44	0	0	0	32	0	1	0	95	0	3	8455	0	8098	0	9395	0	9395	0	9395	0	2052	0	2091	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2061	0	106	0	2167	0	1	16	0	0	0	-9	0	0	0	0	339	0	205	0	396	0	293	0	153	0	20	0	1656	0	397	1.0695652
392051001060000013700	392051001	PA	PHILADELPHIA CITY	PHILADELPHIA PRISON SYSTEM	PHILADELPHIA	19129	1	1	9028	0	0	0	9028	0	79	0	1	106	0	8068	0	929	0	29	0	2	0	9028	0	0	0	1979	0	0	0	1979	0	7049	0	6644	0	225	0	180	0	9028	0	1030	0	5835	0	1513	0	0	0	48	0	0	0	0	0	other	178	0	424	0	9028	0	1	0	0	1	66	0	0	1	 	0	1	0	1	0	1	0	1	0	1	67	0	29	9028	0	8987	0	8685	0	10023	0	8685	0	725	0	730	0	0	0	10	0	0	0	71	0	7	0	137	0	20	0	162	0	43	0	166	0	50	0	64	0	120	0	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	310	0	2328	0	1	86	1	0	0	-9	0	0	0	0	374	0	394	0	14	0	306	0	25	0	137	0	639	0	106	1.0695652
051036036060000002700	051036036	CA	SAN BERNARDINO COUNTY	SAN BERNARDINO COUNTY	Rancho Cucamonga	91739	1.1	1	6018	0	789	0	6807	0	14	0	1	91	1	5302	0	716	0	0	0	0	0	6018	0	0	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	6018	0	1805	0	1113	0	2859	0	0	0	0	0	0	0	0	0	Other Asian	60	0	181	0	6018	0	226	0	0	0	91	0	0	0	 	0	0	264	0	0	0	0	0	0	0	581	0	3	6154	0	6626	0	5984	0	5984	0	6609	0	1150	0	1748	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	334	0	0	0	0	0	0	0	0	0	0	0	0	0	weekenders	455	0	789	0	686	1	103	1	0	0	0	0	789	0	0	9	0	9	789	0	556	1	715	1	1271	1	1	52	0	0	0	-9	0	0	0	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	880	1
101013013060000005100	101013013	FL	MIAMI-DADE COUNTY	MIAMI-DADE COUNTY CORR AND REHAB FACILITIES	Miami	33147	1	1	4951	0	561	0	5512	0	0	8	1	19	0	4601	0	295	0	55	0	0	0	4951	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	4951	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4951	1	5845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	561	0	0	0	0	0	0	0	0	0	561	0	0	0	0	0	561	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1.0695652
101029029060000005300	101029029	FL	HILLSBOROUGH COUNTY	HILLSBOROUGH COUNTY	TAMPA	33601	1	1	2632	0	196	0	2828	0	179	0	1	15	0	2186	0	397	0	47	0	2	0	2632	0	49	0	542	1	0	1	542	1	2090	1	2090	1	0	9	0	9	2632	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	 	0	9	0	9	2632	0	2	0	9	0	3	0	0	0	 	0	0	91	0	0	9	0	9	0	9	105	0	4	3004	0	2948	0	5343	0	0	9	0	9	986	0	1030	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	82	0	0	0	0	0	6	0	0	0	0	0	0	0	 	108	0	196	0	0	9	0	9	0	9	0	9	196	0	0	9	0	9	196	0	0	9	0	9	0	9	1	37	0	0	0	-9	0	0	0	0	345	0	34	0	0	0	7	0	35	0	0	0	2	0	211	1.0695652
