FACLID	JURDID	STATE	COUNTY	FACILITY	CITY	ZIPP	STRATUMNEW	WEIGHT	CONFPOP	CONFPOPF	NCONPOP	NCONPOPF	TOTPOP	TOTPOPF	NONCITZ	NONCITZF	WEEK	WEEKN	WEEKF	ADULTM	ADULTMF	ADULTF	ADULTFF	JUVM	JUVMF	JUVF	JUVFF	TOTGENDER	TOTGENDERF	ADLTJUV	ADLTJUVF	CONV	CONVF	CONVUNSENT	CONVUNSENTF	CONVSENT	CONVSENTF	UNCONV	UNCONVF	UNCONVTRIAL	UNCONVTRIALF	UNCONVHOLD	UNCONVHOLDF	UNCONVOTHER	UNCONVOTHERF	S2QII3C	S2QII3CF	WHITE	WHITEF	BLACK	BLACKF	HISP	HISPF	AIAN	AIANF	ASIAN	ASIANF	NHOPI	NHOPIF	TWORACE	TWORACEF	OTHERRACESPEC	OTHERRACE	OTHERRACEF	RACEDK	RACEDKF	RACETOTAL	RACETOTALF	MARSHALS	MARSHALSF	BOP	BOPF	ICE	ICEF	BIA	BIAF	S2QII5ASPEC	S2QII5A	S2QII5AF	INSTATEPRIS	INSTATEPRISF	OUTSTATEPRIS	OUTSTATEPRISF	INSTATEJAIL	INSTATEJAILF	OUTSTATEJAIL	OUTSTATEJAILF	S2QII5D	S2QII5DF	PEAKDATE	PEAKPOP	PEAKPOPF	ADP	ADPF	RATED	RATEDF	OPERATION	OPERATIONF	DESIGN	DESIGNF	ADMIS	ADMISF	RELEASE	RELEASEF	CONVII10A	CONVII10AF	UNCONVII10A	UNCONVII10AF	CONVII10B	CONVII10BF	UNCONVII10B	UNCONVII10BF	CONVII10C	CONVII10CF	UNCONVII10C	UNCONVII10CF	CONVII10D	CONVII10DF	UNCONVII10D	UNCONVII10DF	CONVII10E	CONVII10EF	UNCONVII10E	UNCONVII10EF	CONVII10F	CONVFII10F	UNCONVII10F	UNCONVII10FF	S2II10GCONV	S2II10GCONVF	S2II10GFUNCONV	S2II10GFUNCONVF	EMONITOR	EMONITORF	HOMEDETN	HOMEDETNF	COMMSRV	COMMSRVF	DAYREPORT	DAYREPORTF	PRETRIAL	PRETRIALF	ALTWORK	ALTWORKF	TREATMENT	TREATMENTF	OTRNONCONFS	OTRNONCONF	OTRNONCONFF	NONCONFD	NONCONFDF	ADMLNCNF	ADMLNCNFF	ADFMNCNF	ADFMNCNFF	JVMLNCNF	JVMLNCNFF	JVFMNCNF	JVFMNCNFF	NCNFGNDR	NCNFGNDRF	CONVNCNF	CONVNCNFF	UNCNVNCF	UNCNVNCFF	TOTCNVST	TOTCNVSTF	CORRSTAFF	CORRSTAFFF	OTHERSTAFF	OTHERSTAFFF	S4QIV1C	S4QIV1CF	ASSAULTSTAFFYN	ASSAULTCORR	ASSAULTCORRF	ASSAULTOTRSTAFF	ASSAULTOTRSTAFFF	DEATHSTAFFYN	DEATHCORR	DEATHCORRF	DEATHOTRSTAFF	DEATHOTRSTAFFF	PHYSASSAULT	PHYSASSAULTF	DRUGVIO	DRUGVIOF	ALCOVIO	ALCOVIOF	WEAPON	WEAPONF	STOLENPROP	STOLENPROPF	ESCAPE	ESCAPEF	OTHERMAJVIO	OTHERMAJVIOF	NONCON2	BJSW
 11010010061000000000	011010010	AL	CHEROKEE COUNTY	CHEROKEE COUNTY DETENTION CENTER	CENTRE	35960	8	2.7519	120	0	0	0	120	0	0	0	2	0	0	102	0	18	0	0	0	0	0	120	0	0	0	40	1	0	1	40	1	80	1	80	1	0	1	0	0	120	0	109	0	9	0	2	0	0	0	0	0	0	0	0	0	 	0	0	0	0	120	0	5	0	0	0	0	0	0	0	 	0	0	10	0	0	0	0	0	0	0	15	0	22	131	0	125	0	164	0	164	0	153	0	58	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01743412
 11011011061000000000	011011011	AL	CHILTON COUNTY	CHILTON COUNTY JAIL	CLANTON	35045	7	1.4136	158	0	0	0	158	0	3	1	2	0	0	121	0	36	0	1	0	0	0	158	0	1	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	158	0	126	0	28	0	4	0	0	0	0	0	0	0	0	0	 	0	0	0	0	158	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	24	0	0	0	24	0	24	174	0	170	0	184	1	184	1	184	1	53	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.587581515
 11013013061000000000	011013013	AL	CLARKE COUNTY	CLARKE COUNTY JAIL	GROVE HILL	36545	9	5.5377	199	0	0	0	199	0	0	0	1	1	0	191	0	6	0	2	0	0	0	199	0	2	0	65	0	0	0	65	0	134	0	134	0	0	0	0	0	199	0	76	0	123	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	199	0	0	0	0	0	0	0	0	0	 	0	0	65	0	0	0	65	0	0	0	130	0	4	202	0	200	0	199	0	0	9	0	9	27	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5.768437862
 11016016061000000000	011016016	AL	COFFEE COUNTY	COFFEE COUNTY JAIL	NEW BROCKTON	36351	8	2.7519	119	0	0	0	119	0	2	0	1	1	0	102	0	16	0	1	0	0	0	119	0	1	0	8	0	0	0	8	0	111	0	23	0	4	0	84	0	119	0	47	0	69	0	3	0	0	0	0	0	0	0	0	0	 	0	0	0	0	119	0	0	0	0	0	2	0	0	0	 	0	0	8	0	2	0	0	0	2	0	14	0	21	123	0	128	0	126	0	126	0	126	0	30	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3.01743412
 11019019061000000000	011019019	AL	COOSA COUNTY	COOSA COUNTY JAIL	ROCKFORD	35136	9	5.5377	39	0	0	0	39	0	0	0	1	1	0	31	0	8	0	0	0	0	0	39	0	0	0	15	1	9	1	6	1	24	1	24	1	0	0	0	0	39	1	27	0	12	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	39	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	17	45	0	38	1	72	0	72	0	72	0	11	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5.768437862
 11020020061000000000	011020020	AL	COVINGTON COUNTY	COVINGTON COUNTY JAIL	ANDALUSIA	36420	8	2.7519	217	0	0	8	217	0	0	0	1	7	0	197	0	40	0	0	0	0	0	217	0	0	8	52	0	0	0	52	0	165	0	107	0	58	0	0	0	217	0	173	0	44	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	217	0	0	8	0	8	0	8	0	8	 	0	0	8	0	4	0	0	0	0	0	12	0	27	217	0	211	0	204	0	134	0	0	0	17	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	8	0	8	0	8	0	8	0	8	 	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3.01743412
 11021021061000000000	011021021	AL	CRENSHAW COUNTY	CRENSHAW COUNTY JAIL	LUVERNE	36049	9	5.5377	63	0	0	8	63	0	0	0	2	0	8	58	0	5	0	0	0	0	0	63	0	0	0	40	0	0	0	40	0	23	0	23	0	0	0	0	0	63	0	45	0	18	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	63	0	0	0	0	0	0	0	0	0	 	0	0	25	0	0	0	0	0	0	0	25	0	5	67	0	50	1	72	0	0	9	0	9	15	1	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	8	0	8	0	8	0	8	0	8	 	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.768437862
 11026026061000000000	011026026	AL	ELMORE COUNTY	ELMORE COUNTY JAIL	WETUMPKA	36092	7	1.4136	223	0	0	0	223	0	0	0	1	2	0	196	1	25	1	2	0	0	0	223	0	2	0	130	1	10	1	120	1	93	0	93	1	0	0	0	0	223	0	117	1	106	1	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	223	0	0	0	11	0	0	0	0	0	 	0	0	6	1	0	0	0	0	0	0	17	0	3	247	0	229	0	260	1	300	0	242	0	88	0	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.587581515
 11028028061000000000	011028028	AL	ETOWAH COUNTY	ETOWAH COUNTY DETENTION CENTER	Gadsden	35901	1	1	784	0	0	0	784	0	305	1	1	0	1	670	1	100	1	14	1	0	1	784	0	8	1	0	9	0	9	0	9	0	9	0	9	0	9	0	9	784	0	395	1	205	1	125	1	0	8	16	1	0	8	42	1	 	0	8	1	1	784	0	2	1	0	1	305	1	0	1	 	0	8	30	1	4	1	0	9	0	9	341	0	30	784	0	774	0	856	0	856	1	856	1	154	1	144	1	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	1	3	1	96	0	2	0	0	0	0	2	0	0	0	0	20	1	15	1	6	1	8	1	0	1	1	1	0	1	0	1.078947425
 11033033061000000000	011033033	AL	HALE COUNTY	HALE COUNTY JAIL	GREENSBORO	36744	9	5.5377	38	1	0	0	38	0	0	0	2	0	0	34	1	4	1	0	1	0	1	38	1	0	0	11	1	3	1	8	1	27	1	1	1	14	1	12	1	38	1	7	1	31	1	0	1	0	1	0	1	0	1	0	1	 	0	1	0	1	38	1	1	1	0	1	0	1	0	1	 	0	1	0	1	0	1	0	0	0	0	1	0	13	41	0	40	1	71	1	71	1	71	1	10	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.768437862
