RTIID	GID	JURISID	COUNTY	NAME	YEAR	CITY	STATE	ZIP	STATEFIPS	CNTYCODE	STRATUM	FINALWT	DESIGNWT	CLASS	STATUS	CONFPOP	CONFPOP_FLAG	NCONPOP	NCONPOP_FLAG	TOTPOP	TOTPOP_FLAG	WEEK	WEEKN	WEEKN_FLAG	NONCITZ	NONCITZ_FLAG	ADULTM	ADULTM_FLAG	ADULTF	ADULTF_FLAG	JUVM	JUVM_FLAG	JUVF	JUVF_FLAG	TOTGENDER	TOTGENDER_FLAG	ADLTJUV	ADLTJUV_FLAG	CONV	CONV_FLAG	UNCONV	UNCONV_FLAG	TOTCONVSTATUS	TOTCONVSTATUS_FLAG	FELONY	FELONY_FLAG	MISD	MISD_FLAG	OTHEROFFSPEC	OTHEROFF	OTHEROFF_FLAG	TOTOFF	TOTOFF_FLAG	WHITE	WHITE_FLAG	BLACK	BLACK_FLAG	HISP	HISP_FLAG	AIAN	AIAN_FLAG	ASIAN	ASIAN_FLAG	NHOPI	NHOPI_FLAG	TWORACE	TWORACE_FLAG	OTHERRACESPEC	OTHERRACE	OTHERRACE_FLAG	RACEDK	RACEDK_FLAG	RACETOTAL	RACETOTAL_FLAG	MARSHALS	MARSHALS_FLAG	BOP	BOP_FLAG	ICE	ICE_FLAG	BIA	BIA_FLAG	OTHERFEDSPEC	OTHERFED	OTHERFED_FLAG	INSTATEPRIS	INSTATEPRIS_FLAG	OUTSTATEPRIS	OUTSTATEPRIS_FLAG	TRIBAL	TRIBAL_FLAG	INSTATEJAIL	INSTATEJAIL_FLAG	OUTSTATEJAIL	OUTSTATEJAIL_FLAG	OTHERHOLDTOT	OTHERHOLDTOT_FLAG	PEAKDATE	PEAKPOP	PEAKPOP_FLAG	ADPM	ADPM_FLAG	ADPF	ADPF_FLAG	ADP	ADP_FLAG	RATED	RATED_FLAG	ADMISM	ADMISM_FLAG	ADMISF	ADMISF_FLAG	ADMIS	ADMIS_FLAG	RELEASEM	RELEASEM_FLAG	RELEASEF	RELEASEF_FLAG	RELEASE	RELEASE_FLAG	EMONITOR	EMONITOR_FLAG	HOMEDETN	HOMEDETN_FLAG	COMMSRV	COMMSRV_FLAG	DAYREPORT	DAYREPORT_FLAG	PRETRIAL	PRETRIAL_FLAG	ALTWORK	ALTWORK_FLAG	TREATMENT	TREATMENT_FLAG	OTRNONCONFSPEC	OTRNONCONF	OTRNONCONF_FLAG	NONCONFD	NONCONFD_FLAG	CORRSTAFF	CORRSTAFF_FLAG	CORRSTAFFM	CORRSTAFFM_FLAG	CORRSTAFFF	CORRSTAFFF_FLAG	OTHERSTAFF	OTHERSTAFF_FLAG	OTHERSTAFFM	OTHERSTAFFM_FLAG	OTHERSTAFFF	OTHERSTAFFF_FLAG	TOTALSTAFF	TOTALSTAFF_FLAG
10956003	011002002061000000000	011002002	BALDWIN COUNTY	BALDWIN COUNTY SHERIFFS OFFICE	2018	BAY MINETTE	1	36507	01	01003	1	1.06363636	1	8	1	577	1	0	1	577	0	0	-9	-9	0	1	479	1	98	1	0	1	0	1	577	0	0	0	432	1	145	1	577	0	335	1	144	1	Misc	98	1	577	0	398	1	144	1	29	1	0	1	0	1	0	1	0	1	Other	6	1	0	1	577	0	63	1	0	1	13	1	0	1	 	0	1	5	1	0	1	0	1	0	1	0	1	81	0	29	577	1	453	1	93	1	546	0	651	1	5669	1	1870	1	7539	0	5628	1	1862	1	7490	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	 	0	1	0	0	108	1	62	1	46	1	13	1	6	1	7	1	121	0
10956005	011004004061000000000	011004004	BIBB COUNTY	BIBB COUNTY SHERIFFS DEPARTMENT	2018	CENTERVILLE	1	35042	01	01007	9	9.77586207	9	19	1	83	0	0	0	83	0	0	-9	-9	0	0	68	0	15	0	0	0	0	0	83	0	0	0	30	1	53	1	83	0	73	1	10	1	 	0	0	83	0	64	1	18	0	1	0	0	0	0	0	0	0	0	0	 	0	1	0	0	83	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	85	0	68	0	15	0	83	0	82	0	970	0	350	0	1320	0	970	0	350	0	1320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	15	0	10	0	5	0	0	0	0	0	0	0	15	0
10956016	011015015061000000000	011015015	CLEBURNE COUNTY	CLEBURNE COUNTY SHERIFFS OFFICE	2018	HEFLIN	1	36264	01	01029	9	9.77586207	9	19	1	64	0	0	0	64	0	0	-9	-9	2	1	56	0	8	0	0	0	0	0	64	0	0	0	15	1	49	1	64	0	50	1	14	1	 	0	0	64	0	55	0	7	0	2	0	0	0	0	0	0	0	0	0	 	0	0	0	0	64	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	76	0	57	0	10	0	67	0	90	0	695	0	226	0	921	0	700	0	231	0	931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	14	0	9	0	5	0	1	0	1	0	0	0	15	0
10956023	011022022061000000000	011022022	CULLMAN COUNTY	CULLMAN COUNTY SHERIFFS OFFICE	2018	CULLMAN	1	35055	01	01043	7	1.40128886	1.27884614	17	1	350	1	0	0	350	0	1	11	1	12	0	284	0	66	0	0	0	0	0	350	0	0	0	43	1	307	0	350	0	139	0	138	0	Community Corrections Dips & Dunks  Traffic  Child	73	0	350	0	294	0	31	0	20	0	0	0	0	0	0	0	3	0	Black Hispanic	2	0	0	0	350	0	43	0	0	0	0	0	0	0	 	0	0	68	0	0	0	0	0	0	0	0	0	111	0	2	367	0	280	0	68	0	348	0	326	0	3212	0	1533	0	4745	0	3481	0	1534	0	5015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	34	1	22	1	12	1	9	1	6	1	3	1	43	0
10956029	011028028061000000000	011028028	ETOWAH COUNTY	ETOWAH COUNTY SHERIFFS OFFICE	2018	GADSDEN	1	35901	01	01055	1	1.06363636	1	8	1	924	1	0	1	924	0	1	0	1	281	1	788	1	132	1	4	1	0	1	924	0	4	1	420	3	504	3	924	1	361	1	277	1	other	286	1	924	0	452	1	267	1	110	1	0	1	20	1	0	1	40	1	other	20	1	15	1	924	0	0	1	0	1	281	1	0	1	 	0	1	30	1	1	1	0	1	0	1	0	1	312	0	13	980	1	804	1	134	1	938	0	879	1	7596	1	1267	1	8863	0	7519	1	1254	1	8773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	1	88	1	74	1	14	1	10	1	8	1	2	1	98	0
10956030	011029029061000000000	011029029	FAYETTE COUNTY	FAYETTE COUNTY SHERIFFS OFFICE	2018	FAYETTE	1	35555	01	01057	9	9.77586207	9	19	1	61	0	0	0	61	0	0	-9	-9	0	0	47	0	14	0	0	0	0	0	61	0	0	0	13	0	48	0	61	0	45	0	14	0	non support	2	0	61	0	34	0	26	0	1	0	0	0	0	0	0	0	0	0	 	0	0	0	0	61	0	0	0	0	0	0	0	0	0	 	0	0	13	0	0	0	0	0	0	0	0	0	13	0	17	84	0	50	0	14	0	64	0	68	0	650	1	200	1	850	0	600	1	185	1	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	12	0	6	0	6	0	0	0	0	0	0	0	12	0
10956036	011035035061000000000	011035035	DALE COUNTY, HENRY COUNTY, HOUSTON COUNTY	HOUSTON COUNTY SHERIFFS OFFICE	2018	DOTHAN	1	36303	01	01069	7	1.40128886	1.27884614	17	1	333	1	0	0	333	0	1	2	1	4	1	268	0	60	0	5	0	0	0	333	0	5	0	24	1	309	1	333	0	289	1	35	1	local ordinance or unknown	9	1	333	0	160	1	164	1	9	1	0	0	0	0	0	0	0	1	 	0	0	0	0	333	0	0	0	0	0	0	0	0	0	 	0	0	28	1	1	0	0	0	0	0	0	0	29	0	5	333	1	248	1	50	1	298	0	306	1	3770	1	1369	1	5139	0	3735	1	1340	1	5075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	60	1	44	1	16	1	16	1	6	1	10	1	76	0
10950037	011037037060000000100	011037037	JEFFERSON COUNTY, SHELBY COUNTY	JEFFERSON COUNTY SHERIFFS OFFICE	2018	BIRMINGHAM	1	35203	01	01073	1	1.08870968	1	7	1	1175	0	0	0	1175	0	0	-9	-9	25	1	1026	0	136	0	13	0	0	0	1175	0	13	0	150	1	1025	1	1175	0	1075	1	100	1	 	0	0	1175	0	425	0	750	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	1175	0	5	1	0	0	0	0	0	0	 	0	0	180	1	0	0	0	0	0	0	5	1	190	0	20	1218	0	1072	0	146	0	1218	0	1507	1	11537	0	3533	0	15070	0	11494	0	3548	0	15042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	155	1	100	1	55	1	21	1	6	1	15	1	176	0
10956040	011040040061000000000	011040040	LAWRENCE COUNTY	LAWRENCE COUNTY SHERIFFS OFFICE	2018	MOULTON	1	35650	01	01079	8	5.51656634	4.90361452	18	1	156	0	5	1	161	0	1	3	1	0	0	130	0	26	0	0	0	0	0	156	0	0	0	10	1	146	0	156	0	100	1	56	1	 	0	1	156	0	132	0	23	0	1	0	0	0	0	0	0	0	0	1	 	0	1	0	1	156	0	0	0	0	0	0	0	0	0	 	0	0	10	1	0	0	0	0	5	1	0	1	15	0	29	156	0	125	3	30	1	155	3	130	1	1522	3	507	3	2029	3	1396	3	342	3	1738	3	0	0	0	0	0	0	0	0	0	0	0	0	5	1	 	0	0	5	0	12	0	10	0	2	0	0	0	0	0	0	0	12	0
10956041	011041041061000000000	011041041	LEE COUNTY	LEE COUNTY SHERIFFS OFFICE	2018	OPELIKA	1	36801	01	01081	7	1.40128886	1.27884614	17	1	413	0	0	0	413	0	1	8	0	10	0	337	0	72	0	4	0	0	0	413	0	0	0	120	0	293	0	413	0	225	0	135	0	UNKNOWN	53	0	413	0	195	0	206	0	9	0	3	0	0	0	0	0	0	0	 	0	0	0	0	413	0	4	0	0	0	0	0	0	0	 	0	0	10	0	0	0	0	0	57	0	0	0	71	0	29	413	0	347	0	57	0	404	0	424	0	6398	0	2238	0	8636	0	6404	0	2221	0	8625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	56	0	36	0	20	0	13	0	5	0	8	0	69	0
