STATEID	STATE	NUMREC	TOTBEG	ENNOINC	ENINC	OTHEN	ENUNK	TOTEN	EXCOM	EXINCNEW	EXINCURR	EXTREAT	EXINCOTH	EXINCUNK	EXABSND	EXWRNT	EXTRANS	EXDTH	EXOTHCOM	EXUNSAT	EXOTH	EXUNK	TOTEX	TOTEND	INORCASE	MALE	FEMALE	GENDUNK	TOTGEND	WHITE	BLACK	HISP	AMINALK	ASIAN	HAWPAC	TWORACE	ADDRACE	UNKRACE	TOTRACE	FELONY	MISD	OTHSROFF	SROFFUNK	TOTSROFF	DMVIOL	SXASLT	OTHVIOL	PROPERTY	DRUG	DUI	TRAF	OTHOFF	OFFUNK	TOTOFF	OUTST	OUTSTNUM	OUTSTIN	ANOTHST	ANOTHSTNUM	REPTPREV	HLDFAC	PAROLE	JAIL	PRISON	CBCF	ICE	DIRECT	SPLIT	SPNDEXC	SPNDIMP	OTHSUP	SUPUNK	TOTSUP	ACTIVE	RESTX	FINONLY	INACTIVE	ABSND	WRNT	OUTJURS	OTHSTAT	STATUNK	TOTSTAT	GPS	GPSNUM	GPSSXNUM	IMPEN	IMPEX	UNKEN	UNKEX	UNKINCASE	UNKGEND	UNKRACE2	UNKSROFF	UNKSROFF2	UNKSUP	UNKSTAT	INDS	CASES	OUTSTINCL	OUTSTEXCL	ESTOTBEG	ESENNOINC	ESENINC	ESOTHEN	ESENUNK	ESTOTEN	ESEXCOM	ESEXINCNEW	ESEXINCURR	ESEXTREAT	ESEXINCOTH	ESEXINCUNK	ESEXABSND	ESEXWRNT	ESEXTRANS	ESEXDTH	ESEXOTHCOM	ESEXUNSAT	ESEXOTH	ESEXUNK	ESTOTEX	ESTOTEND	ESMALE	ESFEML	ESGENDUNK	ESTOTGEND	ESWHITE	ESBLACK	ESHISP	ESAMINALK	ESASIAN	ESHAWPAC	ESTWORACE	ESADDRACE	ESUNKRACE	ESTOTRACE	ESFELONY	ESMISD	ESOTHSROFF	ESSROFFUNK	ESTOTSROFF	ESDMVIOL	ESSXASLT	ESOTHVIOL	ESPROPERTY	ESDRUG	ESDUI	ESTRAF	ESOTHOFF	ESOFFUNK	ESTOTOFF	ESOUTSTNUM	ESANSTNUM	ESPAROLE	ESJAIL	ESPRISON	ESCBCF	ESICE	ESDIRECT	ESSPLIT	ESSPNDEXC	ESSPNDIMP	ESOTHSUP	ESSUPUNK	ESTOTSUP	ESACTIVE	ESRESTX	ESFINONLY	ESINACTIVE	ESABSND	ESWRNT	ESSOUTJURS	ESOTHSTAT	ESSTATUNK	ESTOTSTAT	ESGPSNUM	ESGPSSXNUM	SUPVRATE
0	FE	1	22587	11287	0	0	0	11287	7069	117	1217	-9	15	0	148	0	4	98	1876	207	45	375	11171	22703	1	14188	8154	361	22703	10925	5740	3944	584	825	148	-9	0	537	22703	16550	3836	2280	37	22703	2	201	352	10048	3774	1687	461	6085	93	22703	2	-8	-8	2	-8	2	2	-8	-8	-8	-8	-8	22650	32	0	16	5	0	22703	22703	0	0	0	0	0	0	0	0	22703	1	105	16	11300	11200	0	0	0	0	0	0	0	0	0	22703	0	0	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	0	0	10
1	AL	3	49953	6967	11915	0	5541	24423	10896	796	1406	-9	4852	-9	-9	-9	335	270	2	170	1061	1323	21111	53265	3	36333	10916	6016	53265	25412	21200	524	63	50	-9	-9	-9	6016	53265	-9	2643	-9	50622	53265	500	-9	-9	-9	63	-9	374	-9	52328	53265	1	2208	1	1	4233	2	1	60	2170	-9	-9	-9	1233	-9	-9	-9	-9	52032	53265	43814	134	0	0	4307	350	2208	0	2452	53265	-9	-9	-9	24400	21100	0	0	0	0	0	0	0	0	0	48556	4709	2208	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1474
2	AK	1	6739	-9	-9	-9	1209	1209	578	40	-9	-9	188	-9	29	30	33	18	18	-9	22	33	989	6959	1	5589	1370	0	6959	4109	648	214	1624	280	-9	-9	-9	84	6959	6959	0	0	0	6959	45	271	1231	779	403	447	97	799	2887	6959	1	-9	2	2	-8	2	2	-8	-8	-8	-8	-8	-9	-9	-9	-9	-9	6959	6959	6066	0	0	0	893	0	-7	0	0	6959	2	-8	-8	1200	1000	0	0	0	0	0	0	0	0	0	6959	0	0	0	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	2	2	2	0	0	1308
4	AZ	2	78243	17557	8648	0	0	26205	18228	-9	33	-9	0	0	279	-9	-9	245	-9	3987	766	0	23538	80910	3	62759	15651	2500	80910	35537	7718	29640	4058	437	0	0	567	2953	80910	52316	7969	17906	2719	80910	1236	5343	11934	22443	23394	6760	719	4807	4274	80910	1	2592	1	1	1381	1	-9	-9	-9	-9	-9	-9	0	0	78410	0	0	2500	80910	40842	-9	-9	6015	7631	-9	2592	0	23830	80910	1	241	241	27500	24800	0	0	0	0	0	0	0	0	0	78410	2500	2592	0	1	1	1	2	2	1	1	0	1	0	2	2	1	0	0	1	0	1	1	2	1	1	1	1	3	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	2	2	1	2	2	3	1	1	2	2	3	3	2	2	2	3	1	0	0	1626
5	AR	1	30642	8520	-9	0	0	8520	7140	803	998	-9	0	0	641	-9	583	171	4	0	0	0	10340	28822	1	20116	8700	6	28822	18094	9136	1310	88	79	-9	-9	57	58	28822	26995	1557	0	270	28822	1508	878	2556	10533	9807	21	173	3346	0	28822	1	1481	1	2	-8	1	1	-8	1040	122	75	-9	28822	0	0	0	0	0	28822	18979	-9	-9	3883	4479	-9	1481	0	0	28822	2	-8	-8	8500	10300	0	0	0	0	0	0	0	0	0	28822	0	1481	0	2	2	0	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	0	0	1307
6	CA	1	311728	-9	-9	-9	149029	149029	75030	-9	-9	-9	-9	-9	-9	-8	-9	-9	-9	66811	26042	0	167883	292874	1	-9	-9	292874	292874	-9	-9	-9	-9	-9	-9	-9	-9	292874	292874	-9	-9	-9	292874	292874	-9	-9	-9	-9	-9	-9	-9	-9	292874	292874	-9	-9	-9	-9	-9	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	292874	292874	-9	-9	-9	-9	-9	-9	-9	-9	292874	292874	-9	-9	-9	149000	167900	0	0	0	0	0	0	0	0	0	292874	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	1	1	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	1	1	0	0	1047
8	CO	8	78432	31928	217	16303	4663	53111	36584	-9	1295	-9	5864	111	5698	110	0	290	3158	485	867	800	55262	76289	3	55407	18859	2023	76289	54293	7243	10390	727	764	0	0	0	2872	76289	20189	51311	1096	3693	76289	2610	56	259	721	54	3155	587	342	68505	76289	1	1897	3	1	1349	-9	1	-9	-9	-9	3328	56	7579	108	738	0	0	67864	76289	70639	639	0	653	31	1385	1897	-9	145	76289	1	106	95	53500	55600	0	0	0	0	0	0	0	0	900	69260	7029	1866	31	3	3	2	3	3	3	3	2	2	2	3	2	3	2	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	2	2	3	2	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	2	3	0	0	1959
9	CT	1	55553	19780	6260	-9	0	26040	28686	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	28686	52907	1	41932	10970	5	52907	25046	14341	11778	95	382	-9	9	-9	1256	52907	31001	20898	975	33	52907	4103	-9	7535	12124	10389	3930	4760	10033	33	52907	1	1715	1	1	975	2	-9	-9	-8	-8	-8	-9	13473	13508	25926	-9	-9	0	52907	39535	-9	-9	-9	2166	9491	1715	-9	0	52907	1	145	-9	26000	28700	0	0	0	0	0	0	0	0	0	52907	0	1715	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	1	0	1	1	1	1	1	1	1	2	1	1	0	0	0	0	0	1	1	1	0	0	0	2	1	0	0	0	2	2	2	0	0	2	0	0	1931
10	DE	1	16831	-9	-9	-9	12992	12992	6735	-9	-9	21	-9	-9	-9	-9	-9	91	0	5706	957	0	13510	16313	1	12590	3723	0	16313	8759	6767	712	6	37	0	0	0	32	16313	4448	10470	1395	0	16313	212	330	2873	2950	1816	3176	0	4956	0	16313	1	531	1	1	775	2	1	-9	-9	17	6	-9	7911	8207	-9	195	-9	0	16313	11123	-9	1111	-9	-9	3548	531	-9	0	16313	-9	-9	-9	13000	13500	0	0	0	0	0	0	0	0	0	16313	0	531	0	2	0	0	0	2	2	2	0	0	2	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	0	2	0	2	2	2	0	2	0	0	2	2	0	2	2	0	0	2365
11	DC	1	8055	5769	1220	0	0	6989	3788	-9	-9	-9	-9	1329	0	0	26	58	0	666	110	0	5977	9067	1	7223	1810	34	9067	700	7536	623	9	71	2	0	81	45	9067	2406	2723	3040	898	9067	60	136	2124	1078	2867	999	125	1302	376	9067	1	358	1	2	-8	2	1	442	-8	571	-8	8	6140	1644	0	505	778	0	9067	5034	140	0	171	84	1716	358	1418	146	9067	1	313	9	7000	6000	0	0	0	0	0	0	0	0	0	9067	0	358	0	2	2	2	2	2	2	2	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1815
