STATEID	STATE	NUMREC	TOTBEG	ENNOINC	ENINC	OTHEN	ENUNK	TOTEN	EXCOM	EXINCNEW	EXINCURR	EXTREAT	EXINCOTH	EXINCUNK	EXABSND	EXWRNT	EXTRANS	EXDTH	EXOTHCOM	EXUNSAT	EXOTH	EXUNK	TOTEX	TOTEND	INORCASE	MALE	FEML	GENDUNK	TOTGEND	WHITE	BLACK	HISP	AMINALK	ASIAN	HAWPAC	TWORACE	ADDRACE	UNKRACE	TOTRACE	FELONY	MISD	OTHSROFF	SROFFUNK	TOTSROFF	DMVIOL	SXASLT	OTHVIOL	PROPERTY	DRUG	DUI	TRAF	OTHOFF	OFFUNK	TOTOFF	OUTST	OUTSTNUM	OUTSTIN	ANST	ANSTNUM	REPTPREV	HLDFAC	PAROLE	JAIL	PRISON	CBCF	ICE	DIRECT	SPLIT	SPNDEXC	SPNDIMP	OTHSUP	SUPUNK	TOTSUP	ACTIVE	RESTX	FINONLY	INACTIVE	ABSND	WRNT	OUTJURS	OTHSTAT	STATUNK	TOTSTAT	GPS	GPSNUM	GPSSXNUM	IMPEN	IMPEX	UNKEN	UNKEX	UNKINCASE	UNKGEND	UNKRACE2	UNKSROFF	UNKSROFF2	UNKSUP	UNKSTAT	INDS	CASES	OUTSTINCL	OUTSTEXCL	ESTOTBEG	ESENNOINC	ESENINC	ESOTHEN	ESENUNK	ESTOTEN	ESEXCOM	ESEXINCNEW	ESEXINCURR	ESEXTREAT	ESEXINCOTH	ESEXINCUNK	ESEXABSND	ESEXWRNT	ESEXTRANS	ESEXDTH	ESEXOTHCOM	ESEXUNSAT	ESEXOTH	ESEXUNK	ESTOTEX	ESTOTEND	ESMALE	ESFEML	ESGENDUNK	ESTOTGEND	ESWHITE	ESBLACK	ESHISP	ESAMINALK	ESASIAN	ESHAWPAC	ESTWORACE	ESADDRACE	ESUNKRACE	ESTOTRACE	ESFELONY	ESMISD	ESOTHSROFF	ESSROFFUNK	ESTOTSROFF	ESDMVIOL	ESSXASLT	ESOTHVIOL	ESPROPERTY	ESDRUG	ESDUI	ESTRAF	ESOTHOFF	ESOFFUNK	ESTOTOFF	ESOUTSTNUM	ESANSTNUM	ESPAROLE	ESJAIL	ESPRISON	ESCBCF	ESICE	ESDIRECT	ESSPLIT	ESSPNDEXC	ESSPNDIMP	ESOTHSUP	ESSUPUNK	ESTOTSUP	ESACTIVE	ESRESTX	ESFINONLY	ESINACTIVE	ESABSND	ESWRNT	ESOUTJURS	ESOTHSTAT	ESSTATUNK	ESTOTSTAT	ESGPSNUM	ESGPSSXNUM	SUPVRATE
0	FE	1	22514	11271	0	0	0	11271	7061	95	1096	-9	19	0	137	0	4	123	1984	194	25	379	11117	22668	1	14229	8098	341	22668	10804	5600	4206	614	793	130	-9	0	521	22668	16672	3688	2271	37	22668	3	226	346	10054	3879	1661	483	5913	103	22668	-9	-9	-9	-9	-9	2	-9	-8	-8	-8	-8	-8	22615	32	0	16	5	0	22668	22668	0	0	0	0	0	0	0	0	22668	1	161	30	11300	11100	0	0	0	0	0	0	0	0	0	22668	0	0	0	2	2	0	0	0	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	0	0	9
1	AL	3	53265	3968	-9	4934	17202	26104	10329	1477	599	-9	4	0	1743	10	278	28	2741	40	-9	1206	18455	60914	3	31424	9737	19753	60914	21091	19521	394	62	45	-9	-9	-9	19801	60914	-9	8575	-9	52339	60914	165	-9	-9	-9	66	-9	7285	-9	53398	60914	1	2056	1	1	3728	2	1	21	1878	-9	230	-9	3968	-9	-9	-9	2490	54456	60914	38365	230	2161	-9	3109	285	2056	2392	12316	60914	1	150	-9	26100	18500	0	0	0	0	0	0	0	0	0	52339	8575	2056	0	3	1	0	1	2	2	3	2	2	0	2	2	2	2	2	2	3	1	0	2	2	3	3	2	3	3	2	2	2	2	2	0	0	0	3	3	0	3	0	2	3	1	0	0	0	1	0	1	0	2	3	2	2	2	2	0	2	0	1	0	0	0	1	3	3	3	2	3	0	2	1	2	1	2	3	0	0	1651
2	AK	1	6914	-8	-8	-8	1150	1150	321	-8	-8	-8	503	76	42	-8	51	6	-8	-8	-8	21	1020	7044	1	5587	1457	0	7044	4091	637	23	1643	541	18	-8	-8	91	7044	4748	1544	19	733	7044	-8	452	1349	1380	849	388	-9	1003	1623	7044	2	-8	-8	2	-8	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	7044	7044	-9	-9	-9	-9	914	-9	-9	-9	6130	7044	2	-8	-8	1200	1000	0	0	0	0	0	0	0	0	0	7044	0	0	0	2	0	0	0	0	2	2	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1310
4	AZ	2	80910	16156	7957	-9	0	24113	22747	-9	4855	-9	-9	-8	-9	-9	-9	275	-9	-9	1037	0	28914	76109	3	58994	14614	2501	76109	33660	7507	27051	3973	426	-9	-9	551	2941	76109	51241	6537	15570	2761	76109	1107	5611	11203	13392	18201	6141	627	3833	15994	76109	1	2195	1	1	1309	1	1	-9	-9	-9	-9	-9	-9	-9	73609	-9	-9	2500	76109	37949	-9	-9	5837	7484	-9	2195	-9	22644	76109	1	196	196	25400	30200	0	0	0	0	0	0	0	0	0	73609	2500	2195	0	1	1	1	0	0	1	1	0	1	0	0	2	0	0	0	1	0	0	1	0	1	1	3	3	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1557
5	AR	1	29820	9134	107	0	0	9241	5713	1045	722	-9	215	43	497	95	561	153	-8	662	0	0	9706	29355	1	20521	8827	7	29355	18180	9658	1254	82	89	0	-9	45	47	29355	29355	-9	-9	0	29355	1117	714	2056	10845	9886	26	0	4711	0	29355	1	1405	1	2	-8	1	1	-8	1112	82	45	-9	28326	456	105	51	417	0	29355	19352	175	-9	3872	4468	-9	1405	83	0	29355	2	-8	-8	9200	9700	0	0	0	0	0	0	0	0	0	29355	0	1405	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	0	0	1312
6	CA	1	298322	-9	-9	-9	151226	151226	76606	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	73406	29782	0	179794	269754	1	-9	-9	269754	269754	-9	-9	-9	-9	-9	-9	-9	-9	269754	269754	-9	-9	-9	269754	269754	-9	-9	-9	-9	-9	-9	-9	-9	269754	269754	2	-8	-8	-9	-9	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	269754	269754	-9	-9	-9	-9	-9	-9	-9	-9	269754	269754	-9	-9	-9	151200	179800	0	0	0	0	0	0	0	0	0	269754	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	2	2	2	2	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	943
8	CO	8	76100	34811	249	13791	4439	53290	34190	0	1405	-9	4984	-9	4838	65	3817	254	2529	379	638	476	53575	76173	3	54916	18925	2332	76173	55044	7007	10147	648	719	0	0	0	2608	76173	24053	49008	805	2307	76173	2360	46	126	880	148	3128	549	329	68607	76173	1	1936	3	1	1344	-9	1	-9	-9	-9	3037	-9	8264	85	203	0	0	67621	76173	5995	657	0	614	26	1260	0	0	67621	76173	1	141	113	54100	54100	0	0	0	0	0	0	0	0	0	68969	6533	1904	32	4	3	2	3	3	3	3	2	2	0	1	0	3	2	3	3	3	2	3	3	3	4	3	3	4	4	3	3	3	3	3	2	2	2	4	4	3	3	3	4	4	2	2	2	2	2	2	2	2	4	4	3	3	0	0	0	1	0	2	2	2	2	2	4	4	2	3	3	3	3	2	3	3	4	4	0	0	1946
9	CT	1	52937	18867	6595	-9	0	25462	27899	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	27899	49195	1	10111	39079	5	49195	23219	13359	11062	91	353	-9	5	-9	1106	49195	28094	18264	2822	15	49195	3843	-9	6584	10421	8885	3563	4397	11487	15	49195	1	1628	1	1	922	2	-9	-9	-9	-9	-9	-9	12489	14276	22430	-9	-9	0	49195	39003	-9	-9	-9	2063	8129	-9	-9	0	49195	1	549	396	25500	27900	0	0	0	0	0	0	0	0	0	0	49195	1628	0	2	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	2	2	2	0	0	0	2	2	0	0	0	2	2	0	0	0	2	0	0	1764
10	DE	1	16313	7857	-9	-9	5474	13331	6595	-9	-9	11	-9	-9	-9	-9	-9	115	0	5695	1033	0	13449	16195	1	12368	3824	3	16195	8722	6713	682	4	41	0	0	0	33	16195	4409	10395	1391	0	16195	196	338	2534	2694	1559	2668	0	6206	0	16195	1	378	1	1	787	2	1	-9	-9	13	3	-9	8119	7914	-9	162	-9	0	16195	11015	-9	1330	-9	-9	3472	378	-9	0	16195	1	-9	-9	13300	13400	0	0	0	0	0	0	0	0	0	16195	0	378	0	2	1	0	0	1	2	2	0	0	2	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	0	2	0	2	2	2	0	2	0	0	2	2	0	2	2	0	0	2293
11	DC	1	8641	5814	823	-8	0	6637	4115	1279	-8	-8	-8	1279	-8	-8	15	44	-8	686	107	19	7544	9013	1	7151	1861	1	9013	647	7597	607	3	66	1	-8	74	18	9013	2383	2513	3352	765	9013	40	109	1794	872	2018	865	109	9	3197	9013	1	376	1	2	-8	2	1	532	-8	521	-8	6	6382	1419	-8	417	795	0	9013	5392	156	-8	249	101	1534	376	1173	32	9013	1	196	18	6600	7500	0	0	0	0	0	0	0	0	0	9013	0	376	0	2	2	2	0	2	2	2	2	0	0	0	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	0	1741
